	GSM356334	GSM356335	GSM356336	GSM356337
Smpdl3a	12.3097520565657	12.3710604079793	12.8614622724429	12.1617650077727
Rheb	11.8354347195812	11.7555813080985	11.826337997872	11.648796588702
Slc4a2	8.38357526190902	7.66156527080755	7.69327875754188	8.48470259816091
Sall2	6.329124935642	5.41420660667426	5.9535784769176	6.65038339363758
Slc2a5	9.70381093635649	9.35576229145139	9.6291541793921	9.88728837971343
Kcne1l	4.57235239452776	4.46848179585742	4.1756220567521	4.17765253704261
Lig1	7.14545823523619	7.11177804986521	6.4662755203708	6.88139519930933
Bckdha	10.6376821334421	10.373464426506	10.4728628687519	10.8874339619694
Dync1h1	10.9096676821194	11.0153494237068	10.4862448503974	10.7622124230909
Ambp	4.70184043721388	4.89240055064324	4.65591982433899	4.60853001001233
Rfpl4	3.4711576890781	3.80049252384809	3.81316696930783	3.57835140850154
Znhit2	8.34753290860338	8.12997069793095	7.92121527096367	8.22353384574906
Clic1	10.178316432715	10.1298431029056	10.0165599284336	9.92447009784903
Ndufa9	12.2581198234545	11.8637403485541	12.1863213864428	12.3614873038448
Coq7	9.70557131741961	9.30656330755064	9.35366849910652	9.93026009768412
Serpine2	9.07961493578968	10.4727290313661	8.91775075470773	9.07579503444433
Ebp	10.5418474781834	10.5396230723078	10.5054831754489	10.4258937946088
Emc2	10.8041466211699	10.5600526760729	10.9529575964936	10.9211749332176
Plxnb2	10.9958204393299	10.6946583486044	10.9039066528383	10.841057815156
Tuft1	8.78172209491571	8.8338784809204	9.00374688960621	8.37922970384689
Coil	7.19920464382097	6.52594470037765	7.04130735338917	6.77823703073679
Foxc2	7.11603335963655	6.62532743568507	6.58931976961001	7.16427425283394
Gk2	3.78568867843385	3.66586802267456	3.58256212310441	3.74491943279869
Gramd1a	7.53986338467409	7.72698119630661	7.15928506139954	7.52995070506755
Ngrn	8.9892874119812	8.99142980313334	9.20170112912393	9.16259991423662
Tmem35a	7.45811122583423	6.64794038437697	6.44270177755718	7.19739178664358
Tbr1	3.47080783968927	3.47594078349664	3.49148472272345	3.44261520453168
Pepd	10.9993052723576	10.6715491373119	11.6790536238964	10.9850520992613
Tppp3	6.09889965070599	5.45682231258757	5.64725105468247	6.05612750303276
Gjb3	4.93238905028699	5.09406932585772	4.94168485321944	4.79389525691104
Crisp2	3.60973879153308	3.69700698547793	3.70536363926898	3.63743936173598
Cyb5a	12.9036205345304	12.656202929733	13.205319690911	12.8388620843889
Csnk2b	11.2307136339387	10.7746034177396	11.0677263929235	10.956780914715
Plg	4.89107246604059	5.36648993610876	5.01084860934166	4.87876336566031
Rcl1	7.96506614130998	8.52111065804614	7.99195442431053	7.85276979039928
Asah1	10.6357581157294	10.933708135716	10.9401376371796	10.5434537266741
Casc3	8.09079969502956	8.35109964838838	7.72168341646512	8.12655028112754
Cfdp1	9.23014993309981	8.98404725739549	8.86361824348265	9.41250661096364
H2ax	8.69010060366131	7.89615151415849	8.26430244941421	8.1260725900093
Mfsd5	8.82371572739725	8.68901999342684	8.69367189717902	8.74679102290409
Ddx20	7.54101510630758	8.02799819132484	7.40544431353522	7.42920004142408
Zwilch	4.97202694006876	4.6987087463921	4.67970458162381	4.43783496913642
Galnt16	7.14495002900283	7.61860659854529	7.3279644960132	7.26414006806744
Hsd11b2	10.2217679576687	9.63587524891604	9.9038429748121	10.4098882761045
Cdc123	9.93574142708762	9.76624258152011	10.0823315645923	9.93297975206097
Pam16	11.199703942018	10.5516375845082	11.0968062551525	11.4252491321003
Mtarc2	12.1295490310694	12.6408853740957	11.8033062638132	12.1372886479018
